actual,purchase_pre,timestamp
374884735,258043905.6438787,2014-08-01
189092130,267906862.76513794,2014-08-02
173825397,210552883.78213573,2014-08-03
330640884,207856190.38087574,2014-08-04
394780870,216013859.84040102,2014-08-05
288821016,229565991.52478606,2014-08-06
247646474,208368903.18622872,2014-08-07
233903717,206779637.9482854,2014-08-08
160262764,217638005.66003504,2014-08-09
259534870,229708033.58633184,2014-08-10
331550471,238901824.46159038,2014-08-11
258493673,246303720.70852187,2014-08-12
261506619,243284588.41360056,2014-08-13
257702660,234340789.00005907,2014-08-14
244551620,247913626.7612123,2014-08-15
215059736,245620959.99586958,2014-08-16
149978271,237450725.15881592,2014-08-17
298499146,235123824.54992542,2014-08-18
266401973,216007985.9309997,2014-08-19
308378692,236752239.3883456,2014-08-20
251763517,219945343.23063257,2014-08-21
246316056,223224356.62860835,2014-08-22
141412027,226161388.71897325,2014-08-23
130195484,209948862.65545127,2014-08-24
309574223,214274615.5042271,2014-08-25
306945089,207161806.58376202,2014-08-26
302194801,231353424.43253276,2014-08-27
245082751,229870768.69928902,2014-08-28
267554713,224427170.42758507,2014-08-29
199708772,230545840.2306597,2014-08-30
275090213,243570624.1395542,2014-08-31
