actual,purchase_pre,timestamp
374884735,163955169.83596382,2014-08-01
189092130,148190540.26014027,2014-08-02
173825397,174608967.905129,2014-08-03
330640884,277008331.06057394,2014-08-04
394780870,260951635.96026278,2014-08-05
288821016,269423932.8786843,2014-08-06
247646474,246789618.59741545,2014-08-07
233903717,194333091.87872058,2014-08-08
160262764,191648860.31119192,2014-08-09
259534870,219830967.26323396,2014-08-10
331550471,282627080.941152,2014-08-11
258493673,288787344.39217997,2014-08-12
261506619,292899773.59631306,2014-08-13
257702660,258778620.0582456,2014-08-14
244551620,210408306.83177376,2014-08-15
215059736,210117090.30441847,2014-08-16
149978271,234562270.32801247,2014-08-17
298499146,282627910.9958174,2014-08-18
266401973,300644591.2400266,2014-08-19
308378692,298666132.7805193,2014-08-20
251763517,261876655.36543763,2014-08-21
246316056,220032823.62235457,2014-08-22
141412027,217512902.4141113,2014-08-23
130195484,239611040.0688899,2014-08-24
309574223,282038009.1906642,2014-08-25
306945089,304374394.2727461,2014-08-26
302194801,298682884.67251885,2014-08-27
245082751,263110740.28818178,2014-08-28
267554713,225899620.78926486,2014-08-29
199708772,220734360.23059928,2014-08-30
275090213,241895030.20812908,2014-08-31
