actual,purchase_pre,timestamp
374884735,166376818.83792683,2014-08-01
189092130,156462414.7202476,2014-08-02
173825397,180906768.49391574,2014-08-03
330640884,290827784.0036353,2014-08-04
394780870,255020517.41431653,2014-08-05
288821016,269669205.96659017,2014-08-06
247646474,262494022.17648715,2014-08-07
233903717,209914192.10660568,2014-08-08
160262764,198297175.91180086,2014-08-09
259534870,224139953.76900962,2014-08-10
331550471,300119463.5362849,2014-08-11
258493673,290291783.203684,2014-08-12
261506619,277730501.35097915,2014-08-13
257702660,279927768.99974376,2014-08-14
244551620,225088847.89807758,2014-08-15
215059736,206875400.95856756,2014-08-16
149978271,240391890.58044174,2014-08-17
298499146,296185456.2963271,2014-08-18
266401973,299059521.1825492,2014-08-19
308378692,280943070.9581573,2014-08-20
251763517,279760374.0251932,2014-08-21
246316056,233448076.39791465,2014-08-22
141412027,208864431.18010795,2014-08-23
130195484,246351921.18715847,2014-08-24
309574223,292813696.06148535,2014-08-25
306945089,299044283.0129542,2014-08-26
302194801,283524066.48786026,2014-08-27
245082751,276625998.27531725,2014-08-28
267554713,237963750.57097876,2014-08-29
199708772,211520589.24432638,2014-08-30
275090213,247851354.4948192,2014-08-31
