observed,resid,seasonal,timestamp,trend,trend_reshape
-17962217.3340685,-20124245.8363109,61833.8691605441,2013-07-01,2100194.63308183,0.343957890958619
-25946274.852606,-28023859.3762562,104675.72390138,2013-07-02,1972908.79974888,0.341275436010856
-19048737.8721646,-21041612.9858634,147252.147282872,2013-07-03,1845622.96641593,0.338592981063093
-12066982.8307329,-13975525.0423835,190205.078567587,2013-07-04,1718337.13308297,0.33591052611533
22750679.7093141,21364597.6279335,-208550.621517569,2013-07-05,1594632.70289817,0.333303546594353
95248100.6055583,93944621.3358395,-167449.002994526,2013-07-06,1470928.27271337,0.330696567073376
60154079.5102455,58934822.8621172,-127967.194400292,2013-07-07,1347223.84252857,0.3280895875524
888412.33230821,-400726.193507432,61833.8691605441,2013-07-08,1227304.6566551,0.325562379260205
-34115295.8127768,-35327357.0074598,104675.72390138,2013-07-09,1107385.47078162,0.323035170968009
-21564857.458883,-22699575.891074,147252.147282872,2013-07-10,987466.284908152,0.320507962675814
7727966.27810357,6666256.18018966,190205.078567587,2013-07-11,871505.01934632,0.3180641646316
39315105.1756527,38768112.0433858,-208550.621517569,2013-07-12,755543.753784489,0.315620366587386
67679149.4293991,67207015.944171,-167449.002994526,2013-07-13,639582.488222657,0.313176568543172
67807011.3743878,67407224.5298911,-127967.194400292,2013-07-14,527754.038896952,0.310819866549403
-14253437.7986477,-14731197.2573795,61833.8691605441,2013-07-15,415925.589571248,0.308463164555633
-16315528.938831,-16724301.8029779,104675.72390138,2013-07-16,304097.140245543,0.306106462561863
-29288029.2639871,-29631815.9312848,147252.147282872,2013-07-17,196534.520014817,0.303839659766319
-18167358.5281529,-18446535.5065045,190205.078567587,2013-07-18,88971.8997840902,0.301572856970775
32744407.368244,32971548.7102082,-208550.621517569,2013-07-19,-18590.7204466364,0.299306054175231
66867991.8767431,67157191.415631,-167449.002994526,2013-07-20,-121750.535893399,0.297132037239413
60236057.3936852,60588934.9394256,-127967.194400292,2013-07-21,-224910.351340162,0.294958020303596
-28043667.2073969,-27777430.9097705,61833.8691605441,2013-07-22,-328070.166786925,0.292784003367778
-14931738.3341771,-14609701.8793603,104675.72390138,2013-07-23,-426712.178718175,0.290705195805037
-16023432.9619785,-15645330.9186119,147252.147282872,2013-07-24,-525354.190649425,0.288626388242297
8876584.47121044,9310375.59522353,190205.078567587,2013-07-25,-623996.202580675,0.286547580679556
37611912.9236484,38538483.8299756,-208550.621517569,2013-07-26,-718020.284809578,0.284566092575345
57436275.7322836,58415769.1023166,-167449.002994526,2013-07-27,-812044.36703848,0.282584604471134
69149056.5493617,70183092.1930294,-127967.194400292,2013-07-28,-906068.449267382,0.280603116366924
-21199906.4359982,-20266344.5573648,61833.8691605441,2013-07-29,-995395.747793945,0.278720609511066
-31819078.3885059,-30839031.0660867,104675.72390138,2013-07-30,-1084723.04632051,0.276838102655207
-16121766.8420347,-15094968.6444705,147252.147282872,2013-07-31,-1174050.34484707,0.274955595799349
-1451891.88627673,-383460.949280126,190205.078567587,2013-08-01,-1258636.01556419,0.273173015248288
24676531.2300438,26228303.5378427,-208550.621517569,2013-08-02,-1343221.68628132,0.271390434697226
55546432.7025616,57141689.0625545,-167449.002994526,2013-08-03,-1427807.35699844,0.269607854146164
72328123.8385744,73963700.7845611,-127967.194400292,2013-08-04,-1507609.7515865,0.267926077607481
-37403678.143437,-35878099.866423,61833.8691605441,2013-08-05,-1587412.14617457,0.266244301068798
-34771130.0925961,-33208591.2757349,104675.72390138,2013-08-06,-1667214.54076263,0.264562524530115
-33139929.8781243,-31544953.7178192,147252.147282872,2013-08-07,-1742228.30758805,0.262981664785536
-16698034.6026622,-15070997.6068163,190205.078567587,2013-08-08,-1817242.07441348,0.261400805040957
13654446.8333625,15755253.2961189,-208550.621517569,2013-08-09,-1892255.8412389,0.259819945296379
