20140901,202628178.1,276591433.6
20140902,285891066.1,234511188.9
20140903,224212121.6,255528106.7
20140904,175722588.7,243122442.3
20140905,179724015.7,236940655.4
20140906,178582331.2,248027548.7
20140907,172386960.5,234423971.4
20140908,175753340.5,228464299.9
20140909,184914558,258631996.3
20140910,228931881.7,249604804.7
20140911,231837851.3,283616155.7
20140912,200107051.8,256550759
20140913,201829289.3,271377679.4
20140914,159788761.8,246639129.8
20140915,164512977.3,234808650.3
20140916,287744124.9,254429968.8
20140917,200927350.6,266963622.4
20140918,166283764.2,255363489.9
20140919,146769824.9,219036225.5
20140920,148987141.8,222259580.6
20140921,151657322.8,233121118.8
20140922,185394754.7,253940607.9
20140923,171168348.6,263718045.1
20140924,189385924.7,261562954.1
20140925,161034110.7,279170320
20140926,181103512.8,252249683
20140927,153175817.9,230871753
20140928,149625859.5,260784522
20140929,142684274.2,242420656
20140930,135268840.8,231753459
