20140901,249215219.8,268576480
20140902,253256041.9,240224931.7
20140903,249572455.2,255034282.1
20140904,236108967.7,242140465.9
20140905,255915078.3,255024495.2
20140906,259033174.2,240818094.1
20140907,246333641.2,267460368.8
20140908,244493615.7,230320210.5
20140909,226578167.6,263958268
20140910,245008013.8,266358693.5
20140911,227405298.4,289286536.8
20140912,225903173.6,278533538.1
20140913,239349969.7,251215028.2
20140914,222113744,264224486.6
20140915,229236803.8,286832887
20140916,218696063.8,275275692.7
20140917,240888463.3,248594609.9
20140918,232137804.9,277154912
20140919,226407815,292454558.3
20140920,245177546.8,261270355
20140921,257287799.4,276026702.9
20140922,266305656.6,259344641.1
20140923,209104579.9,267439155.2
20140924,208213367.1,281284846
20140925,211429839.6,273385060.8
20140926,236887772.7,306805468.2
20140927,203813738.1,296183925
20140928,201368212.6,287068766.7
20140929,222765692.7,291078736.6
20140930,238653465.2,303013662.4
