ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-07-01,17.148154433518993,16.900443400363528,17.87279711231233,17.148154433518993,17.148154433518993,0.2550744221931311,0.2550744221931311,0.2550744221931311,0.2550744221931311,0.2550744221931311,0.2550744221931311,0.0,0.0,0.0,17.403228855712126
2013-07-02,17.15678844022282,16.888070840437738,17.8774047198187,17.15678844022282,17.15678844022282,0.22336965576968973,0.22336965576968973,0.22336965576968973,0.22336965576968973,0.22336965576968973,0.22336965576968973,0.0,0.0,0.0,17.38015809599251
2013-07-03,17.165422446926645,16.825688687496196,17.767216981299672,17.165422446926645,17.165422446926645,0.14122606609489388,0.14122606609489388,0.14122606609489388,0.14122606609489388,0.14122606609489388,0.14122606609489388,0.0,0.0,0.0,17.30664851302154
2013-07-04,17.174056453630474,16.779529918271706,17.731173066794785,17.174056453630474,17.174056453630474,0.09640370572435913,0.09640370572435913,0.09640370572435913,0.09640370572435913,0.09640370572435913,0.09640370572435913,0.0,0.0,0.0,17.270460159354833
2013-07-05,17.1826904603343,16.62871172759523,17.551779811148972,17.1826904603343,17.1826904603343,-0.0827693042870914,-0.0827693042870914,-0.0827693042870914,-0.0827693042870914,-0.0827693042870914,-0.0827693042870914,0.0,0.0,0.0,17.09992115604721
2013-07-06,17.191324467038125,16.353584775527704,17.315916828501773,17.191324467038125,17.191324467038125,-0.3610577778990508,-0.3610577778990508,-0.3610577778990508,-0.3610577778990508,-0.3610577778990508,-0.3610577778990508,0.0,0.0,0.0,16.830266689139073
2013-07-07,17.199958473741955,16.451198208136162,17.387517947577116,17.199958473741955,17.199958473741955,-0.27224676759619076,-0.27224676759619076,-0.27224676759619076,-0.27224676759619076,-0.27224676759619076,-0.27224676759619076,0.0,0.0,0.0,16.927711706145764
2013-07-08,17.20859248044578,17.003233925333497,17.94309923682403,17.20859248044578,17.20859248044578,0.25507442219335374,0.25507442219335374,0.25507442219335374,0.25507442219335374,0.25507442219335374,0.25507442219335374,0.0,0.0,0.0,17.463666902639133
2013-07-09,17.21722648714961,16.948963226758206,17.93447710781882,17.21722648714961,17.21722648714961,0.22336965577021958,0.22336965577021958,0.22336965577021958,0.22336965577021958,0.22336965577021958,0.22336965577021958,0.0,0.0,0.0,17.44059614291983
2013-07-10,17.225860493853435,16.86565332640197,17.83734187401159,17.225860493853435,17.225860493853435,0.14122606609518407,0.14122606609518407,0.14122606609518407,0.14122606609518407,0.14122606609518407,0.14122606609518407,0.0,0.0,0.0,17.367086559948618
